Name,Oracle,Trigger 1,Trigger 2,Trigger 3,Trigger 4,Trigger 5
Ashnod's Transmogrant,"T, Sacrifice Ashnod's Transmogrant: Put a +1/+1 counter on target nonartifact creature.  That creature becomes an artifact in addition to its other types.",,,,,
"Asmira, Holy Avenger","Flying.    At the beginning of each end step, put a +1/+1 counter on Asmira, Holy Avenger for each creature put into your graveyard from this battlefield this turn.",Lapsing,,,,
Aspect of Mongoose,"Enchant creature.    Enchanted creature gets shroud.    When Aspect of Mongoose is put into a graveyard from the battlefield, return Aspect of Mongoose to its owner's hand.",Lapsing,,,,
Aspect of Wolf,"Enchant creature.    Enchanted creature gets +X/+Y, where X is half the number of Forests you control, rounded down, and Y is half the number of Forests you control, rounded up.",,,,,
Assassinate,Destroy target tapped creature.,,,,,
Assassin's Blade,Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.    Destroy target nonblack attacking creature.,,,,,
Assault // Battery,Assault deals 2 damage to target creature or player. // Put a 3/3 green Elephant creature token onto the battlefield.,,,,,
Assault Griffin,Flying,,,,,
Assault Strobe,Target creature gains double strike until end of turn.,,,,,
Assault Zeppelid,"Flying, trample",,,,,
Assembly Hall,"4, T: Reveal a creature card in your hand.  Search your library for a card with the same name as that card, reveal it, and put it into your hand.  Then shuffle your library.",,,,,
Assembly-Worker,T: Target Assembly-Worker creature gets +1/+1 until end of turn.,,,,,
Assert Authority,"Affinity for artifacts.    Counter target spell.  If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",,,,,
Astral Slide,"Whenever a player cycles a card, you may exile target creature.  If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.",Optional,Mandatory,,,
Astral Steel,Target creature gets +1/+2 until end of turn.    Storm.,Mandatory,,,,
Astrolabe,"1, T, Sacrifice Astrolabe: Add two mana of any one color to your mana pool.  Draw a card at the beginning of the next turn's upkeep.",Mandatory,,,,
"Atalya, Samite Master","X, T: Choose one - Prevent the next X damage that would be dealt to target creature this turn; or you gain X life.  Spend only white mana this way.",,,,,
Atog,Sacrifice an artifact: Atog gets +2/+2 until end of turn.,,,,,
Atogatog,"Sacrifice an Atog creature: Atogatog gets +X/+X until end of turn, where X is the sacrificed creature's power.",,,,,
Attrition,"B, Sacrifice a creature: Destroy target nonblack creature.",,,,,
Attunement,"Return Attunement to its owner's hand: Draw three cards, then discard four cards.",,,,,
Augur il-Vec,Shadow.    Sacrifice Augur il-Vec: You gain 4 life.  Activate this ability only during your upkeep.,,,,,
Augur of Skulls,1B: Regenerate Augur of Skulls.    Sacrifice Augur of Skulls: Target player discards two cards.  Activate this ability only during your upkeep.,,,,,
Augury Adept,"Whenever Augury Adept deals combat damage to a player, reveal the top card of your library and put that card into your hand.  You gain life equal to its converted mana cost.",Mandatory,,,,
Augury Owl,"Flying.    When Augury Owl enters the battlefield, scry 3.",Lapsing,,,,
Auntie's Hovel,"As Auntie's Hovel enters the battlefield, you may reveal a Goblin card from your hand.  If you don't, Auntie's Hovel enters the battlefield tapped.    T: Add B or R to your mana pool.",,,,,
Auntie's Snitch,"Auntie's Snitch can't block.    Prowl 1B.    Whenever a Goblin or Rogue you control deals combat damage to a player, if Auntie's Snitch is in your graveyard, you may return Auntie's Snitch to your hand.",Optional,,,,
Aura Barbs,"Each enchantment deals 2 damage to its controller, then each Aura attached to a creature deals 2 damage to the creature it's attached to.",,,,,
Aura Blast,Destroy target enchantment.    Draw a card.,,,,,
Aura Extraction,Put target enchantment on top of its owner's library.    Cycling 2.,,,,,
Aura Finesse,Attach target Aura you control to target creature.    Draw a card.,,,,,
Aura Flux,"Other enchantments have ""At the beginning of your upkeep, sacrifice this enchantment unless you pay 2.""",Mandatory,,,,
Aura Fracture,Sacrifice a land: Destroy target enchantment.,,,,,
Aura Gnarlid,Creatures with power less than Aura Gnarlid's power can't block it.    Aura Gnarlid gets +1/+1 for each Aura on the battlefield.,,,,,
Aura Graft,Gain control of target Aura that's attached to a permanent.  Attach it to another permanent it can enchant.,,,,,
Aura Mutation,"Destroy target enchantment.  Put X 1/1 green Saproling creature tokens onto the battlefield, where X is that enchantment's converted mana cost.",,,,,
Aura of Dominion,"Enchant creature.    1, Tap an untapped creature you control: Untap enchanted creature.",,,,,
Aura of Silence,Artifact and enchantment spells your opponents cast cost 2 more to cast.    Sacrifice Aura of Silence: Destroy target artifact or enchantment.,,,,,
Aura Shards,"Whenever a creature enters the battlefield under your control, you may destroy target artifact or enchantment.",Optional,,,,
Aura Thief,"Flying.    When Aura Thief dies, you gain control of all enchantments.",Lapsing,,,,
Auramancer,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.",Optional,,,,
Auramancer's Guise,Enchant creature.    Enchanted creature gets +2/+2 for each Aura attached to it and has vigilance.,,,,,
Auratog,Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.,,,,,
Auratouched Mage,"When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it.  If Auratouched Mage is still on the battlefield, put that Aura card onto the battlefield attached to it.  Otherwise, reveal the Aura card and put it into your hand.  Then shuffle your library.",Optional,,,,
Aurification,"Whenever a creature deals damage to you, put a gold counter on it.    Each creature with a gold counter on it is a Wall in addition to its other creature types and has defender.    When Aurification leaves the battlefield, remove all gold counters from all creatures.",Lapsing,Lapsing,,,
Auriok Bladewarden,"T: Target creature gets +X/+X until end of turn, where X is Auriok Bladewarden's power.",,,,,
Auriok Champion,"Protection from black and from red.    Whenever another creature enters the battlefield, you may gain 1 life.",Optional,,,,
Auriok Edgewright,Metalcraft - Auriok Edgewright has double strike as long as you control three or more artifacts.,,,,,
Auriok Glaivemaster,"As long as Auriok Glaivemaster is equipped, it gets +1/+1 and has first strike.",,,,,
Auriok Replica,"W, Sacrifice Auriok Replica: Prevent all damage a source of your choice would deal to you this turn.",,,,,
Auriok Salvagers,1W: Return target artifact card with converted mana cost 1 or less from your graveyard to your hand.,,,,,
Auriok Siege Sled,1: Target artifact creature blocks Auriok Siege Sled this turn if able.    1: Target artifact creature can't block Auriok Siege Sled this turn.,,,,,
Auriok Steelshaper,"Equip costs you pay cost 1 less.    As long as Auriok Steelshaper is equipped, Soldier and/or Knight creatures you control get +1/+1.",,,,,
Auriok Sunchaser,"Metalcraft - As long as you control three or more artifacts, Auriok Sunchaser gets +2/+2 and has flying.",,,,,
Auriok Survivors,"When Auriok Survivors enters the battlefield, you may return target Equipment card from your graveyard to the battlefield.  If you do, you may attach it to Auriok Survivors.",Optional,,,,
Auriok Transfixer,"W, T: Tap target artifact.",,,,,
Auriok Windwalker,Flying.    T: Attach target Equipment you control to target creature you control.,,,,,
Aurochs,"Trample.    Whenever Aurochs attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.",No visual effect,,,,
Aurochs Herd,"Trample.    When Aurochs Herd enters the battlefield, you may search your library for an Aurochs card, reveal it, and put it into your hand.  If you do, shuffle your library.    Whenever Aurochs Herd attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.",Optional,No visual effect,,,
Aurora Eidolon,"W, Sacrifice Aurora Eidolon: Prevent the next 3 damage that would be dealt to target creature or player this turn.    Whenever you cast a multicolored spell, you may return Aurora Eidolon from your graveyard to your hand.",Optional,,,,
Aurora Griffin,Flying.    W: Target permanent becomes white until end of turn.,,,,,
Auspicious Ancestor,"When Auspicious Ancestor dies, you gain 3 life.    Whenever a player casts a white spell, you may pay 1.  If you do, you gain 1 life.",Lapsing,Optional,,,
Austere Command,Choose two - Destroy all artifacts; or destroy all enchantments; or destroy all creatures with converted mana cost 3 or less; or destroy all creatures with converted mana cost 4 or greater.,,,,,
Autochthon Wurm,"Convoke, trample.",,,,,
Autumn Willow,"Shroud.    G: Until end of turn, Autumn Willow can be the target of spells and abilities controlled by target player as though it didn't have shroud.",,,,,
Autumn's Veil,"Spells you control can't be countered by blue or black spells this turn, and creatures you control can't be the targets of blue or black spells this turn.",,,,,
"Avacyn, Angel of Hope","Flying, vigilance.    Avacyn, Angel of Hope and other permanents you control are indestructible.",,,,,
Avacynian Priest,"1, T: Tap target non-Human creature.",,,,,
Avacyn's Collar,"Equipped creature gets +1/+0 and has vigilance.    Whenever equipped creature dies, if it was a Human, put a 1/1 white Spirit creature token with flying onto the battlefield.    Equip 2",Lapsing,,,,
Avacyn's Pilgrim,T: Add W to your mana pool.,,,,,
Avalanche,Destroy X target snow lands.,,,,,
Avalanche Riders,"Haste, echo 3R.    When Avalanche Riders enters the battlefield, destroy target land.",Mandatory,Lapsing,,,
Avarax,"Haste.    When Avarax enters the battlefield, you may search your library for a card named Avarax, reveal it, and put it into your hand.  If you do, shuffle your library.    1R: Avarax gets +1/+0 until end of turn.",Optional,,,,
Avarice Totem,5: Exchange control of Avarice Totem and target nonland permanent.,,,,,
Avatar of Discord,"Flying.    When Avatar of Discord enters the battlefield, sacrifice it unless you discard two cards.",Mandatory,,,,
Avatar of Fury,"If an opponent controls seven or more lands, Avatar of Fury costs 6 less to cast.    Flying.    R: Avatar of Fury gets +1/+0 until end of turn.",,,,,
Avatar of Hope,"If you have 3 or less life, Avatar of Hope costs 6 less to cast.    Flying.    Avatar of Hope can block any number of creatures.",,,,,
Avatar of Might,"If an opponent controls at least four more creatures than you, Avatar of Might costs 6 less to cast.    Trample.",,,,,
Avatar of Slaughter,All creatures have double strike and attack each turn if able.,,,,,
Avatar of Will,"If an opponent has no cards in hand, Avatar of Will costs 6 less to cast.    Flying.",,,,,
Avatar of Woe,"If there are ten or more creature cards total in all graveyards, Avatar of Woe costs 6 less to cast.    Fear.    T: Destroy target creature.  It can't be regenerated.",,,,,
Aven Archer,"Flying.    2W, T: Aven Archer deals 2 damage to target attacking or blocking creature.",,,,,
Aven Augur,Flying.    Sacrifice Aven Augur: Return up to two target creatures to their owners' hands.  Activate this ability only during your upkeep.,,,,,
Aven Brigadier,Flying.    Other Bird creatures get +1/+1.    Other Soldier creatures get +1/+1.,,,,,
Aven Cloudchaser,"Flying.    When Aven Cloudchaser enters the battlefield, destroy target enchantment.",Lapsing,,,,
Aven Envoy,Flying,,,,,
Aven Farseer,"Flying.    Whenever a permanent is turned face up, put a +1/+1 counter on Aven Farseer.",Lapsing,,,,
Aven Fateshaper,"Flying.    When Aven Fateshaper enters the battlefield, look at the top four cards of your library, then put them back in any order.    4U: Look at the top four cards of your library, then put them back in any order.",Lapsing,,,,
Aven Fisher,"Flying.    When Aven Fisher dies, you may draw a card.",Optional,,,,
Aven Fleetwing,"Flying, hexproof",,,,,
Aven Flock,Flying.    W: Aven Flock gets +0/+1 until end of turn.,,,,,
Aven Fogbringer,"Flying.    When Aven Fogbringer enters the battlefield, return target land to its owner's hand.",Mandatory,,,,
Aven Liberator,"Flying, morph 3W.    When Aven Liberator is turned face up, target creature you control gains protection from the color of your choice until end of turn.",Lapsing,,,,
Aven Mimeomancer,"Flying.    At the beginning of your upkeep, you may put a feather counter on target creature.  If you do, that creature is 3/1 and has flying for as long as it has a feather counter on it.",Optional,,,,
Aven Mindcensor,"Flash, flying.    If an opponent would search your library, that player searches the top four cards of that library instead.",,,,,
Aven Redeemer,Flying.    T: Prevent the next 2 damage that would be dealt to would be dealt to target creature or player this turn.,,,,,
Aven Riftwatcher,"Flying, vanishing 3.    When Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.",Mandatory,Mandatory,Lapsing,,
Aven Shrine,"Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.",Mandatory,,,,
Aven Smokeweaver,"Flying, protection from red.",,,,,
Aven Soulgazer,Flying.    2W: Look at target face-down creature.,,,,,
Aven Squire,"Flying, exalted.",No visual effect,,,,
Aven Trailblazer,Flying.    Domain - Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.,,,,,
Aven Trooper,"Flying.    2W, Discard a card: Aven Trooper gets +1/+2 until end of turn.",,,,,
Aven Warcraft,"Creatures you control get +0/+2 until end of turn.    Threshold - If seven or more cards are in your graveyard, choose a color.  Creatures you control also gain protection from the chosen color until end of turn.",,,,,
Aven Warhawk,"Amplify 1, flying",,,,,
Aven Windreader,Flying.    1U: Target player reveals the top card of his or her library.,,,,,
Avenger en-Dal,"2W, T, Discard a card: Exile target attacking creature.  Its controller gains life equal to its toughness.",,,,,
Avenger of Zendikar,"When Avenger of Zendikar enters the battlefield, put a 0/1 green Plant creature token onto the battlefield for each land you control.    Landfall - Whenever a land enters the battlefield under your control, you may put a +1/+1 counter on each Plant creature you control.",Lapsing,Optional,,,
Avenging Angel,"Flying.    When Avenging Angel dies, you may put Avenging Angel on top of its owner's library.",Optional,,,,
Avenging Druid,"Whenever Avenging Druid deals damage to an opponent, you may reveal cards from the top of your library until you reveal a land card.  If you do, put that card onto the battlefield and put all other cards revealed this way into your graveyard.",Optional,,,,
Avian Changeling,"Changeling, flying",,,,,
Avizoa,Flying.    0: Avizoa gets +2/+2 until end of turn.  You skip your next untap step.  Activate this ability only once each turn.,,,,,
Avoid Fate,Counter target instant or Aura spell that targets a permanent you control.,,,,,
Awakener Druid,"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield.  It's still a land.",Mandatory,,,,
Awakening,"At the beginning of each upkeep, untap all creatures and lands.",Mandatory,,,,
Awakening Zone,"At the beginning of your upkeep, you may put a 0/1 colorless Eldrazi Spawn creature token onto the battlefield.  It has ""Sacrifice this creature: Add 1 to your mana pool.""",Optional,,,,
Awe Strike,"The next time target creature would deal damage this turn, prevent that damage.  You gain life equal to the damage prevented this way.",,,,,
Awesome Presence,Enchant creature.    Enchanted creature can't be blocked unless defending player pays 3 for each creature he or she controls that's blocking it.,,,,,
Axegrinder Giant,,,,,,
Axelrod Gunnarson,"Trample.    Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player.",Lapsing,,,,
Ayesha Tanaka,Banding.    T: Counter target activated ability from an artifact source unless that ability's controller pays W.,,,,,
Aysen Abbey,"T: Add 1 to your mana pool.    1, T: Add W to your mana pool.    2, T: Add G or U to your mana pool.",,,,,
Aysen Bureaucrats,T: Tap target creature with power 2 or less.,,,,,
Aysen Crusader,Aysen Crusader's power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.,,,,,
Aysen Highway,White creatures have plainswalk.,,,,,
"Ayumi, the Last Visitor",Legendary landwalk,,,,,
"Azami, Lady of Scrolls",Tap an untapped Wizard you control: Draw a card.,,,,,
Azimaet Drake,Flying.    U: Azimaet Drake gets +1/+0 until end of turn.  Activate this ability only once each turn.,,,,,
Azorius Æthermage,"Whenever a permanent is returned to your hand, you may pay 1.  If you do, draw a card.",Optional,,,,
Azorius Chancery,"Azorius Chancery enters the battlefield tapped.    When Azorius Chancery enters the battlefield, return a land you control to its owner's hand.    T: Add WU to your mana pool.",Mandatory,,,,
Azorius First-Wing,"Flying, protection from enchantments.",,,,,
Azorius Guildmage,2W: Tap target creature.    2U: Counter target activated ability.,,,,,
Azorius Herald,"Azorius Herald is unblockable.    When Azorius Herald enters the battlefield, you gain 4 life.    When Azorius Herald enters the battlefield, sacrifice it unless U was spent to cast it.",Lapsing,Mandatory,,,
Azorius Ploy,Prevent all combat damage target creature would deal this turn.    Prevent all combat damage that would be dealt to target creature this turn.,,,,,
Azorius Signet,"1, T: Add WU to your mana pool.",,,,,
Azure Drake,Flying,,,,,
Azure Mage,3U: Draw a card.,,,,,
"Azusa, Lost but Seeking",You may play two additional lands on each of your turns.,,,,,
Back from the Brink,Exile a creature card from your graveyard and pay its mana cost: Put a token onto the battlefield that's a copy of that card.  Activate this ability only any time you could cast a sorcery.,,,,,
Back to Basics,Nonbasic lands don't untap during their controllers' untap steps.,,,,,
Back to Nature,Destroy all enchantments.,,,,,
Backdraft,"Choose a player who cast one or more sorcery spells this turn.  Backdraft deals damage to that player equal to half the damage dealt by one of those sorcery spells this turn, rounded down.",,,,,
Backfire,"Enchant creature.    Whenever enchanted creature deals damage to you, Backfire deals that much damage to that creature's controller.",,,,,
Backlash,Tap target untapped creature.  That creature deals damage equal to its power to its controller.,,,,,
Backslide,Turn target creature with morph face down.    Cycling U.,,,,,
Bad Moon,Black creatures get +1/+1.,,,,,
Bad River,"Bad River enters the battlefield tapped.    T, Sacrifice Bad River: Search your library for an Island or Swamp card and put it onto the battlefield.  Then shuffle your library.",,,,,
Badlands,,,,,,
Baki's Curse,Baki's Curse deals 2 damage to each creature for each Aura attached to that creature.,,,,,
Baku Altar,"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Baku Altar.    2, T, Remove a ki counter from Baku Altar: Put a 1/1 colorless Spirit creature token onto the battlefield.",Optional,,,,
Bala Ged Scorpion,"When Bala Ged Scorpion enters the battlefield, you may destroy target creature with power 1 or less.",Optional,,,,
Bala Ged Thief,"Whenever Bala Ged Thief or another Ally enters the battlefield under your control, target player reveals a number of cards from his or her hand equal to the number of Allies you control.  You choose one of them.  That player discards that card.",Lapsing,,,,
Balance,"Each player chooses a number of lands he or she controls equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest.  Players discard cards and sacrifice creatures the same way.",,,,,
Balance of Power,"If target opponent has more cards in hand than you, draw cards equal to the difference.",,,,,
Balancing Act,"Each player chooses a number of permanents he or she controls equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest.  Each player discards cards the same way.",,,,,
Balduvian Barbarians,,,,,,
Balduvian Bears,,,,,,
Balduvian Conjurer,T: Target snow land becomes a 2/2 creature until end of turn.  It's still a land.,,,,,
Balduvian Dead,"2R, Exile a creature card from your graveyard: Put a 3/1 black and red Graveborn creature token with haste onto the battlefield.  Sacrifice it at the beginning of the next end step.",Mandatory,,,,
Balduvian Fallen,"Cumulative upkeep 1.    Whenever Balduvian Fallen's upkeep is paid, it gets +1/+0 until end of turn for each B or R spent this way.",Mandatory,No visual effect,,,
Balduvian Frostwalker,"U, T: Target snow land becomes a 2/2 blue Elemental creature with flying.  It's still a land.",,,,,
Balduvian Horde,"When Balduvian Horde enters the battlefield, sacrifice it unless you discard a card at random.",Mandatory,,,,
Balduvian Hydra,Balduvian Hydra enters the battlefield with X +1/+0 counters on it.    Remove a +1/+0 counter from Balduvian Hydra: Prevent the next 1 damage that would be dealt to Balduvian Hydra this turn.    RRR: Put a +1/+0 counter on Balduvian Hydra.  Activate this ability only during your upkeep.,,,,,
Balduvian Rage,Target attacking creature gets +X/+0 until end of turn.    Draw a card at the beginning of the next turn's upkeep.,Mandatory,,,,
Balduvian Shaman,"T: Change the text of target white enchantment you control that doesn't have cumulative upkeep by replacing all instances of one color word with another.  That enchantment gains ""Cumulative upkeep 1.""",Mandatory,,,,
Balduvian Trading Post,"If Balduvian Trading Post would enter the battlefield, sacrifice an untapped Mountain instead.  If you do, put Balduvian Trading Post onto the battlefield.  If you don't, put it into its owner's graveyard.    T: Add 1R to your mana pool.    1, T: Balduvian Trading Post deals 1 damage to target attacking creature.",,,,,
Balduvian Warlord,"T: Remove target blocking creature from combat.  Creatures it was blocking that hadn't become blocked by another creature this combat become unblocked, then it blocks an attacking creature of your choice.  Activate this ability only during the declare blockers step.",,,,,
Balduvian War-Makers,"Haste, rampage 1",No visual effect,,,,
Balefire Dragon,"Flying.    Whenever Balefire Dragon deals combat damage to a player, it deals that much damage to each creature that player controls.",Lapsing,,,,
Balefire Liege,"Other red creatures you control get +1/+1.    Other white creatures you control get +1/+1.    Whenever you cast a red spell, Balefire Liege deals 3 damage to target player.    Whenever you cast a white spell, you gain 3 life.",Lapsing,Lapsing,,,
Baleful Stare,Target opponent reveals his or her hand.  You draw a card for each Mountain and red card in it.,,,,,
Ball Lightning,"Trample, haste.    At the beginning of the end step, sacrifice Ball Lightning.",Mandatory,,,,
Ballista Squad,"XW, T: Ballista Squad deals X damage to target attacking or blocking creature.",,,,,
Balloon Peddler,"U, T, Discard a card: Target creature gains flying until end of turn.",,,,,
Ballynock Cohort,First strike.    Ballynock Cohort gets +1/+1 as long as you control another white creature.,,,,,
Ballynock Trapper,"T: Tap target creature.    Whenever you cast a white spell, you may untap Ballynock Trapper.",Optional,,,,
Ballyrush Banneret,Kithkin spells and Soldier spells you cast cost 1 less to cast.,,,,,
Balm of Restoration,"1, T, Sacrifice Balm of Restoration: Choose one - You gain 2 life; or prevent the next 2 damage that would be dealt to target creature or player this turn.",,,,,
Baloth Cage Trap,"If an opponent had an artifact enter the battlefield under his or her control this turn, you may pay 1G rather than pay Baloth Cage Trap's mana cost.    Put a 4/4 green Beast creature token onto the battlefield.",,,,,
Baloth Woodcrasher,"Landfall - Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn.",No visual effect,,,,
Balshan Beguiler,"Whenever Balshan Beguiler deals combat damage to a player, that player reveals the top two cards of his or her library.  You choose one of those cards and put it into his or her graveyard.",Mandatory,,,,
Balshan Collaborator,Flying.    B: Balshan Collaborator gets +1/+1 until end of turn.,,,,,
Balshan Griffin,"Flying.    1U, Discard a card: Return Balshan Griffin to its owner's hand.",,,,,
Balthor the Defiled,"Minion creatures get +1/+1.    BBB, Exile Balthor the Defiled: Each player returns all black and all red creature cards from his or her graveyard to the battlefield.",,,,,
Balthor the Stout,Other Barbarian creatures get +1/+1.    R: Another target Barbarian creature gets +1/+0 until end of turn.,,,,,
Bamboozle,Target player reveals the top four cards of his or her library.  You choose two of those cards and put them into his or her graveyard.  Put the rest on top of his or her library in any order.,,,,,
Bandage,Prevent the next 1 damage that would be dealt to target creature or player this turn.    Draw a card.,,,,,
Bane of the Living,"Morph XBB.    When Bane of the Living is turned face up, all creatures get -X/-X until end of turn.",Mandatory,,,,
Banefire,"Banefire deals X damage to target creature or player.    If X is 5 or more, Banefire can't be countered by spells or abilities and the damage can't be prevented.",,,,,
Baneful Omen,"At the beginning of your end step, you may reveal the top card of your library.  If you do, each opponent loses life equal to that card's converted mana cost.",Optional,,,,
Baneslayer Angel,"Flying, first strike, lifelink, protection from Demons and from Dragons.",,,,,
Banewasp Affliction,"Enchant creature.    When enchanted creature dies, that creature's controller loses life equal to its toughness.",Lapsing,,,,
Banishing Knack,"Until end of turn, target creature gains ""T: Return target nonland permanent to its owner's hand.""",,,,,
Banishing Stroke,"Put target artifact, creature, or enchantment on the bottom of its owner's library.    Miracle W",Optional,,,,
Banishment Decree,"Put target artifact, creature, or enchantment on top of its owner's library.",,,,,
Banners Raised,Creatures you control get +1/+0 until end of turn.,,,,,
Banshee,"X, T: Banshee deals half X damage, rounded down, to target creature or player, and half X damage, rounded up, to you.",,,,,
Banshee's Blade,"Equipped creature gets +1/+1 for each charge counter on Banshee's Blade.    Whenever equipped creature deals combat damage, put a charge counter on Banshee's Blade.    Equip 2",Lapsing,,,,
Bant Battlemage,"G, T: Target creature gains trample until end of turn.    U, T: Target creature gains flying until end of turn.",,,,,
Bant Charm,Choose one - Destroy target artifact; or put target creature on the bottom of its owner's library; or counter target instant spell.,,,,,
Bant Panorama,"T: Add 1 to your mana pool.    1, T, Sacrifice Bant Panorama: Search your library for a basic Forest, Plains, or Island card and put it onto the battlefield tapped.  Then shuffle your library.",,,,,
Bant Sojourners,"When you cycle Bant Sojourners or it dies, you may put a 1/1 white Soldier creature token onto the battlefield.    Cycling 2W",Optional,,,,
Bant Sureblade,"As long as you control another multicolored permanent, Bant Sureblade gets +1/+1 and has first strike.",,,,,
Bar the Door,Creatures you control get +0/+4 until end of turn.,,,,,
Barbarian Bully,Discard a card at random: Barbarian Bully gets +2/+2 until end of turn unless a player has Barbarian Bully deal 4 damage to him or her.  Activate this ability only once each turn.,,,,,
Barbarian General,Horsemanship,,,,,
Barbarian Guides,"2R, T: Choose a land type.  Target creature you control gains snow landwalk of the chosen type until end of turn.  Return that creature to its owner's hand at the beginning of the next end step.",,,,,
Barbarian Horde,,,,,,
Barbarian Lunatic,"2R, Sacrifice Barbarian Lunatic: Barbarian Lunatic deals 2 damage to target creature.",,,,,
Barbarian Outcast,"When you control no Swamps, sacrifice Barbarian Outcast.",Mandatory,,,,
Barbarian Riftcutter,"R, Sacrifice Barbarian Riftcutter: Destroy target land.",,,,,
Barbarian Ring,"T: Add R to your mana pool.  Barbarian Ring deals 1 damage to you.    Threshold - R, T, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player.  Activate this ability only if seven or more cards are in your graveyard.",,,,,
Barbary Apes,,,,,,
Barbed Battlegear,Equipped creature gets +4/-1.    Equip 2.,,,,,
Barbed Field,"Enchant land.    Enchanted land has ""T: This land deals 1 damage to target creature or player.""",,,,,
Barbed Foliage,"Whenever a creature attacks you, it loses flanking until end of turn.    Whenever a creature without flying attacks you, Barbed Foliage deals 1 damage to it.",No visual effect,No visual effect,,,
Barbed Lightning,Choose one - Barbed Lightning deals 3 damage to target creature; or Barbed Lightning deals 3 damage to target player.    Entwine 2,,,,,
Barbed Sextant,"1, T, Sacrifice Barbed Sextant: Add one mana of any color to your mana pool.  Draw a card at the beginning of the next turn's upkeep.",Mandatory,,,,
Barbed Shocker,"Trample, haste.    Whenever Barbed Shocker deals damage to a player, that player discards all the cards in his or her hand, then draws that many cards.",Mandatory,,,,
Barbed Sliver,"All Sliver creatures have ""2: This creature gets +2/+0 until end of turn.""",,,,,
Barbed Wire,"At the beginning of each player's upkeep, Barbed Wire deals 1 damage to that player.    2: Prevent the next 1 damage that would be dealt by Barbed Wire this turn.",Mandatory,,,,
Barbed-Back Wurm,B: Target green creature blocking Barbed-Back Wurm gets -1/-1 until end of turn.,,,,,
Barbtooth Wurm,,,,,,
Bargain,Target opponent draws a card.    You gain 7 life.,,,,,
Bargaining Table,"X, T: Draw a card.  X is the number of cards in an opponent's hand.",,,,,
Barishi,"When Barishi dies, exile Barishi, then shuffle all creature cards from your graveyard into your library.",Mandatory,,,,
Barkhide Mauler,Cycling 2,,,,,
Barkshell Blessing,Target creature gets +2/+2 until end of turn.    Conspire,Optional,,,,
Barktooth Warbeard,,,,,,
Barl's Cage,3: Target creature doesn’t untap during its controller's next untap step.,,,,,
Baron Sengir,"Flying.    Whenever a creature dealt damage by Baron Sengir this turn dies, put a +2/+2 counter on Baron Sengir.    T: Regenerate another target Vampire.",Lapsing,,,,
Barony Vampire,,,,,,
Barrage Ogre,"T, Sacrifice an artifact: Barrage Ogre deals 2 damage to target creature or player.",,,,,
Barrel Down Sokenzan,Sweep - Return any number of Mountains you control to their owner's hand.  Barrel Down Sokenzan deals damage to target creature equal to twice the number of Mountains returned this way.,,,,,
Barreling Attack,"Target creature gains trample until end of turn.  When that creature becomes blocked this turn, it gets +1/+1 until end of turn for each creature blocking it.",No visual effect,,,,
Barren Glory,"At the beginning of your upkeep, if you control no permanents other than Barren Glory and have no cards in your hand, you win the game.",Mandatory,,,,
Barren Moor,Barren Moor enters the battlefield tapped.    T: Add B to your mana pool.    Cycling B,,,,,
Barrenton Cragtreads,Barrenton Cragtreads can't be blocked by red creatures.,,,,,
Barrenton Medic,T: Prevent the next 1 damage that would be dealt to target creature or player this turn.    Put a -1/-1 counter on Barrenton Medic: Untap Barrenton Medic.,,,,,
"Barrin, Master Wizard","2, Sacrifice a permanent: Return target creature to its owner's hand.",,,,,
Barrin's Codex,"At the beginning of your upkeep, you may put a page counter on Barrin's Codex.    4, T, Sacrifice Barrin's Codex: Draw X cards, where X is the number of page counters on Barrin's Codex.",Optional,,,,
Barrin's Spite,Choose two target creatures controlled by the same player.  Their controller chooses and sacrifices one of them.  Return the other to its owner's hand.,,,,,
Barrin's Unmaking,Return target permanent to its owner's hand if that permanent shares a color with the most common color among all permanents or a color tied for most common.,,,,,
Barrow Ghoul,"At the beginning of your upkeep, sacrifice Barrow Ghoul unless you exile the top creature card of your graveyard.",Mandatory,,,,
Bartel Runeaxe,Vigilance.    Bartel Runeaxe can't be the target of Aura spells.,,,,,
